scorevideo	LOG
File:	logXCB2_log.mat

VIDEO	FILE	SET
Videotype:	AVI
Directory:	F:\Roya\Color	Beh	for	Roya\NEW	XCB	cohort\XCB2	Yellow	081017\
Video	file	set:
	XCB2	Yellow	081017	1-116535
Play	duration	(min):	64.742
Frames/sec	of	files:	30
No.	of	subjects:	2

COMMAND	SET	AND	SETTINGS
-------------------------------
start	stop	subject	description
-------------------------------
A	0	attack	female
C	0	chase	female
D	0	yellow	lateral	display	(right)
F	0	flee	from	female
Q	0	quiver	at	female
a	0	attack	male
b	0	attack	blue	(left)
c	0	chase	male
d	0	blue	lateral	display	(left)
e	0	pot	entry
f	0	flee	from	male
p	0	dig
q	0	quiver	at	male
r	0	frontal	display
s	0	lead	swim
x	0	pot	exit
y	0	attack	yellow	(right)
-------------------------------
subject	1:	subject1
subject	2:	subject2
subj#:	0=either	1=subject1	2=subject2	3=both
No.	of	simultaneous	behaviors:	one

RAW	LOG
------------------------------------------
frame	time(min:sec)	command
------------------------------------------
54051	30:01.70	Q
54231	30:07.70	Q
54399	30:13.30	Q
54809	30:26.97	A
54997	30:33.23	A
55251	30:41.70	A
55313	30:43.77	Q
55603	30:53.43	Q
56039	31:07.97	y
56103	31:10.10	D
56211	31:13.70	y
56281	31:16.03	D
56567	31:25.57	Q
56707	31:30.23	Q
56799	31:33.30	d
56841	31:34.70	b
57439	31:54.63	d
57623	32:00.77	d
57761	32:05.37	b
57807	32:06.90	b
58165	32:18.83	y
58299	32:23.30	y
58401	32:26.70	y
58437	32:27.90	y
58621	32:34.03	A
58743	32:38.10	A
58775	32:39.17	A
58949	32:44.97	A
59167	32:52.23	y
59373	32:59.10	y
59455	33:01.83	D
59509	33:03.63	y
59717	33:10.57	D
59763	33:12.10	y
59969	33:18.97	y
60125	33:24.17	D
60279	33:29.30	D
60371	33:32.37	y
60919	33:50.63	D
61167	33:58.90	y
61253	34:01.77	y
61379	34:05.97	y
61437	34:07.90	D
61593	34:13.10	D
61811	34:20.37	Q
61871	34:22.37	s
62069	34:28.97	D
62387	34:39.57	y
62495	34:43.17	D
62589	34:46.30	y
62685	34:49.50	D
62769	34:52.30	y
62857	34:55.23	D
62975	34:59.17	y
63053	35:01.77	y
63087	35:02.90	D
63287	35:09.57	y
63397	35:13.23	y
63445	35:14.83	D
63525	35:17.50	y
63721	35:24.03	y
63799	35:26.63	D
63903	35:30.10	y
64027	35:34.23	y
64085	35:36.17	D
64149	35:38.30	y
64293	35:43.10	D
64373	35:45.77	y
64541	35:51.37	y
64715	35:57.17	y
64793	35:59.77	D
65243	36:14.77	s
65593	36:26.43	d
65643	36:28.10	A
65715	36:30.50	A
65757	36:31.90	d
65795	36:33.17	b
65829	36:34.30	d
66035	36:41.17	s
66167	36:45.57	d
66471	36:55.70	D
66537	36:57.90	y
66627	37:00.90	y
66681	37:02.70	A
66839	37:07.97	A
66959	37:11.97	d
66969	37:12.30	b
67043	37:14.77	d
67239	37:21.30	b
67319	37:23.97	b
67397	37:26.57	d
67489	37:29.63	b
67687	37:36.23	b
67897	37:43.23	s
67999	37:46.63	s
68015	37:47.17	A
68713	38:10.43	D
68815	38:13.83	y
69133	38:24.43	s
69563	38:38.77	s
69699	38:43.30	Q
69793	38:46.43	Q
69827	38:47.57	s
70115	38:57.17	s
70301	39:03.37	s
70369	39:05.63	A
70435	39:07.83	s
70499	39:09.97	A
70615	39:13.83	s
70685	39:16.17	s
70813	39:20.43	s
71167	39:32.23	Q
