scorevideo	LOG
File:	logXCB4_log.mat

VIDEO	FILE	SET
Videotype:	AVI
Directory:	F:\Roya\Color	Beh	for	Roya\NEW	XCB	cohort\XCB4	Yellow	081117\
Video	file	set:
	XCB4	Yellow	081117	1-107550
Play	duration	(min):	59.750
Frames/sec	of	files:	30
No.	of	subjects:	2

COMMAND	SET	AND	SETTINGS
-------------------------------
start	stop	subject	description
-------------------------------
A	0	attack	female
C	0	chase	female
D	0	yellow	lateral	display	(right)
F	0	flee	from	female
Q	0	quiver	at	female
b	0	attack	blue	(left)
d	0	blue	lateral	display	(left)
e	0	pot	entry
f	0	flee	from	male
p	0	dig
q	0	quiver	at	male
r	0	frontal	display
s	0	lead	swim
x	0	pot	exit
y	0	attack	yellow	(right)
-------------------------------
subject	1:	subject1
subject	2:	subject2
subj#:	0=either	1=subject1	2=subject2	3=both
No.	of	simultaneous	behaviors:	one

RAW	LOG
------------------------------------------
frame	time(min:sec)	command
------------------------------------------
52245	29:01.50	d
52401	29:06.70	d
52471	29:09.03	Q
52685	29:16.17	d
52771	29:19.03	d
52829	29:20.97	b
52891	29:23.03	d
53055	29:28.50	C
53169	29:32.30	C
53323	29:37.43	b
53367	29:38.90	d
53445	29:41.50	d
53547	29:44.90	b
53601	29:46.70	d
53693	29:49.77	b
53753	29:51.77	d
53925	29:57.50	d
54247	30:08.23	d
54357	30:11.90	b
54393	30:13.10	d
54437	30:14.57	b
54481	30:16.03	d
54565	30:18.83	b
54613	30:20.43	d
54713	30:23.77	y
54849	30:28.30	y
54907	30:30.23	D
55017	30:33.90	y
55137	30:37.90	D
55213	30:40.43	A
55359	30:45.30	d
55599	30:53.30	Q
55731	30:57.70	d
56287	31:16.23	b
56363	31:18.77	d
56485	31:22.83	s
56549	31:24.97	s
56795	31:33.17	y
56825	31:34.17	D
56877	31:35.90	y
56995	31:39.83	D
57147	31:44.90	y
57219	31:47.30	D
57267	31:48.90	y
57381	31:52.70	D
57463	31:55.43	y
57493	31:56.43	D
57585	31:59.50	y
57807	32:06.90	b
57905	32:10.17	d
57963	32:12.10	b
57993	32:13.10	d
58057	32:15.23	b
58091	32:16.37	b
58129	32:17.63	b
58189	32:19.63	d
58391	32:26.37	y
58419	32:27.30	y
58651	32:35.03	y
58731	32:37.70	D
58961	32:45.37	b
59161	32:52.03	b
59873	33:15.77	Q
59997	33:19.90	Q
60081	33:22.70	d
60199	33:26.63	d
60293	33:29.77	b
60325	33:30.83	b
60527	33:37.57	y
60597	33:39.90	D
60773	33:45.77	D
60805	33:46.83	y
60857	33:48.57	D
61223	34:00.77	Q
61811	34:20.37	d
61977	34:25.90	b
62075	34:29.17	d
62115	34:30.50	b
62143	34:31.43	b
62225	34:34.17	d
62343	34:38.10	d
62445	34:41.50	b
62593	34:46.43	b
62731	34:51.03	b
63019	35:00.63	s
63075	35:02.50	s
63229	35:07.63	Q
63457	35:15.23	d
63619	35:20.63	d
63671	35:22.37	b
63713	35:23.77	A
64027	35:34.23	d
64089	35:36.30	b
64161	35:38.70	b
64203	35:40.10	d
64281	35:42.70	d
64341	35:44.70	b
64409	35:46.97	b
65179	36:12.63	s
65361	36:18.70	y
65391	36:19.70	D
65467	36:22.23	y
65499	36:23.30	D
65547	36:24.90	y
65595	36:26.50	D
65685	36:29.50	y
65715	36:30.50	D
65993	36:39.77	Q
66035	36:41.17	s
66109	36:43.63	s
