scorevideo	LOG
File:	logXCB14_log.mat

VIDEO	FILE	SET
Videotype:	AVI
Directory:	G:\Roya\NEW	XCB	cohort\
Video	file	set:
	XCB14	Yellow	082317	1-134910
Play	duration	(min):	74.950
Frames/sec	of	files:	30
No.	of	subjects:	2

COMMAND	SET	AND	SETTINGS
-------------------------------
start	stop	subject	description
-------------------------------
A	0	attack	female
C	0	chase	female
D	0	yellow	lateral	display	(right)
F	0	flee	from	female
Q	0	quiver	at	female
b	0	attack	blue	(left)
d	0	blue	lateral	display	(left)
e	0	pot	entry
f	0	flee	from	male
p	0	dig
q	0	quiver	at	male
r	0	frontal	display
s	0	lead	swim
x	0	pot	exit
y	0	attack	yellow	(right)
-------------------------------
subject	1:	subject1
subject	2:	subject2
subj#:	0=either	1=subject1	2=subject2	3=both
No.	of	simultaneous	behaviors:	one

RAW	LOG
------------------------------------------
frame	time(min:sec)	command
------------------------------------------
54431	30:14.37	Q
54699	30:23.30	s
54719	30:23.97	A
54845	30:28.17	s
55079	30:35.97	d
55179	30:39.30	Q
55179	30:39.30	A
55229	30:40.97	b
55253	30:41.77	b
55451	30:48.37	d
55715	30:57.17	A
55787	30:59.57	A
55799	30:59.97	b
56149	31:11.63	d
56317	31:17.23	d
57219	31:47.30	Q
57401	31:53.37	A
57447	31:54.90	b
57491	31:56.37	Q
57551	31:58.37	b
57573	31:59.10	b
58075	32:15.83	s
58231	32:21.03	d
58273	32:22.43	A
58343	32:24.77	b
58397	32:26.57	Q
58501	32:30.03	C
58787	32:39.57	Q
58815	32:40.50	b
58839	32:41.30	b
58963	32:45.43	A
59039	32:47.97	A
59301	32:56.70	b
59543	33:04.77	b
59669	33:08.97	A
60299	33:29.97	A
60871	33:49.03	Q
61303	34:03.43	A
61335	34:04.50	A
61357	34:05.23	C
61403	34:06.77	b
61461	34:08.70	A
61711	34:17.03	C
61877	34:22.57	A
61947	34:24.90	Q
62131	34:31.03	A
62397	34:39.90	A
62467	34:42.23	s
62515	34:43.83	b
62669	34:48.97	A
63271	35:09.03	b
63343	35:11.43	s
63657	35:21.90	Q
63861	35:28.70	s
63913	35:30.43	b
64015	35:33.83	A
64041	35:34.70	C
64499	35:49.97	s
64723	35:57.43	D
64899	36:03.30	s
64929	36:04.30	b
65383	36:19.43	C
65535	36:24.50	Q
65587	36:26.23	A
65625	36:27.50	C
65705	36:30.17	A
65979	36:39.30	A
66247	36:48.23	A
66279	36:49.30	D
66447	36:54.90	A
66569	36:58.97	Q
66599	36:59.97	A
66929	37:10.97	A
67287	37:22.90	A
67699	37:36.63	d
67769	37:38.97	b
67865	37:42.17	b
68043	37:48.10	A
68319	37:57.30	f
68371	37:59.03	D
68617	38:07.23	A
68919	38:17.30	s
68971	38:19.03	s
69017	38:20.57	Q
69081	38:22.70	b
69233	38:27.77	s
69361	38:32.03	D
69727	38:44.23	s
69929	38:50.97	b
70089	38:56.30	b
70143	38:58.10	b
70213	39:00.43	s
70307	39:03.57	b
70735	39:17.83	b
70843	39:21.43	b
71683	39:49.43	C
72445	40:14.83	D
72573	40:19.10	s
72653	40:21.77	s
72765	40:25.50	s
72861	40:28.70	Q
72911	40:30.37	D
73021	40:34.03	D
73171	40:39.03	d
73291	40:43.03	b
73333	40:44.43	d
73489	40:49.63	b
73731	40:57.70	b
74271	41:15.70	A
74295	41:16.50	s
74397	41:19.90	Q
74483	41:22.77	D
74505	41:23.50	y
74543	41:24.77	D
74685	41:29.50	y
74721	41:30.70	D
74817	41:33.90	y
74847	41:34.90	D
74933	41:37.77	y
74971	41:39.03	D
75053	41:41.77	y
75073	41:42.43	D
75183	41:46.10	D
75313	41:50.43	D
75415	41:53.83	D
75461	41:55.37	D
75983	42:12.77	A
76011	42:13.70	C
76057	42:15.23	C
76249	42:21.63	s
76495	42:29.83	s
76731	42:37.70	b
76887	42:42.90	s
77357	42:58.57	d
77645	43:08.17	Q
77769	43:12.30	b
78229	43:27.63	s
78343	43:31.43	D
78437	43:34.57	y
78487	43:36.23	D
78795	43:46.50	s
78887	43:49.57	A
78909	43:50.30	C
79229	44:00.97	s
79365	44:05.50	b
79551	44:11.70	A
79907	44:23.57	b
80021	44:27.37	b
80089	44:29.63	b
80265	44:35.50	b
80377	44:39.23	A
80489	44:42.97	A
80593	44:46.43	b
80621	44:47.37	b
81183	45:06.10	b
81371	45:12.37	A
81627	45:20.90	A
82569	45:52.30	D
82749	45:58.30	s
82841	46:01.37	A
82889	46:02.97	b
83031	46:07.70	A
83525	46:24.17	s
83763	46:32.10	A
83799	46:33.30	b
84595	46:59.83	d
84907	47:10.23	Q
84929	47:10.97	A
85315	47:23.83	A
85417	47:27.23	A
85507	47:30.23	s
86053	47:48.43	A
86295	47:56.50	b
87071	48:22.37	y
87099	48:23.30	D
87209	48:26.97	y
87229	48:27.63	D
87319	48:30.63	D
87521	48:37.37	A
87761	48:45.37	A
87913	48:50.43	A
87985	48:52.83	D
88117	48:57.23	C
88175	48:59.17	b
88547	49:11.57	A
89073	49:29.10	Q
89173	49:32.43	A
89273	49:35.77	D
89461	49:42.03	y
89485	49:42.83	D
89553	49:45.10	y
89605	49:46.83	D
89661	49:48.70	y
89697	49:49.90	y
89723	49:50.77	D
89843	49:54.77	y
89887	49:56.23	D
89947	49:58.23	y
89985	49:59.50	D
90139	50:04.63	A
90173	50:05.77	C
90275	50:09.17	A
90335	50:11.17	A
90461	50:15.37	D
90523	50:17.43	D
90837	50:27.90	y
90853	50:28.43	D
91059	50:35.30	A
91085	50:36.17	D
91385	50:46.17	D
91995	51:06.50	s
92081	51:09.37	C
92191	51:13.03	A
92267	51:15.57	A
92441	51:21.37	A
92537	51:24.57	A
92637	51:27.90	D
92857	51:35.23	d
92869	51:35.63	A
93003	51:40.10	b
93225	51:47.50	A
93363	51:52.10	s
93461	51:55.37	s
93487	51:56.23	A
93693	52:03.10	C
94003	52:13.43	D
94093	52:16.43	D
94185	52:19.50	A
94361	52:25.37	s
