scorevideo	LOG
File:	logXCB20_log.mat

VIDEO	FILE	SET
Videotype:	AVI
Directory:	G:\Roya\NEW	XCB	cohort\
Video	file	set:
	XCB20	Yellow	083017	1-121950
Play	duration	(min):	67.750
Frames/sec	of	files:	30
No.	of	subjects:	2

COMMAND	SET	AND	SETTINGS
-------------------------------
start	stop	subject	description
-------------------------------
A	0	attack	female
C	0	chase	female
D	0	yellow	lateral	display	(right)
F	0	flee	from	female
Q	0	quiver	at	female
b	0	attack	blue	(left)
d	0	blue	lateral	display	(left)
e	0	pot	entry
f	0	flee	from	male
p	0	dig
q	0	quiver	at	male
r	0	frontal	display
s	0	lead	swim
x	0	pot	exit
y	0	attack	yellow	(right)
-------------------------------
subject	1:	subject1
subject	2:	subject2
subj#:	0=either	1=subject1	2=subject2	3=both
No.	of	simultaneous	behaviors:	one

RAW	LOG
------------------------------------------
frame	time(min:sec)	command
------------------------------------------
54099	30:03.30	b
54139	30:04.63	b
54147	30:04.90	d
54425	30:14.17	d
54489	30:16.30	b
54525	30:17.50	b
54567	30:18.90	b
54595	30:19.83	b
54637	30:21.23	b
54673	30:22.43	d
54749	30:24.97	C
54809	30:26.97	A
54879	30:29.30	b
54929	30:30.97	d
54997	30:33.23	b
55073	30:35.77	d
55119	30:37.30	b
55145	30:38.17	b
55171	30:39.03	b
55205	30:40.17	d
55259	30:41.97	b
55333	30:44.43	d
55391	30:46.37	b
55503	30:50.10	b
55557	30:51.90	d
55609	30:53.63	b
55665	30:55.50	b
55695	30:56.50	b
55725	30:57.50	d
55823	31:00.77	C
55937	31:04.57	b
55989	31:06.30	d
56101	31:10.03	b
56133	31:11.10	b
56175	31:12.50	d
56211	31:13.70	b
56263	31:15.43	d
56279	31:15.97	b
56325	31:17.50	d
56371	31:19.03	b
56425	31:20.83	d
56471	31:22.37	b
56511	31:23.70	b
56573	31:25.77	d
56607	31:26.90	b
56649	31:28.30	d
56691	31:29.70	b
56769	31:32.30	d
56811	31:33.70	b
56887	31:36.23	d
56937	31:37.90	b
56969	31:38.97	d
57013	31:40.43	b
57055	31:41.83	b
57091	31:43.03	b
57133	31:44.43	b
57165	31:45.50	d
57181	31:46.03	C
57435	31:54.50	d
57479	31:55.97	b
57523	31:57.43	d
57573	31:59.10	b
57613	32:00.43	d
57673	32:02.43	b
57707	32:03.57	d
57737	32:04.57	b
57793	32:06.43	d
57877	32:09.23	b
57935	32:11.17	b
57999	32:13.30	d
58041	32:14.70	b
58091	32:16.37	b
58117	32:17.23	b
58155	32:18.50	d
58225	32:20.83	b
58285	32:22.83	d
58367	32:25.57	b
58411	32:27.03	d
58451	32:28.37	b
58495	32:29.83	d
58547	32:31.57	b
58597	32:33.23	d
58641	32:34.70	b
58683	32:36.10	d
58731	32:37.70	b
58767	32:38.90	b
58813	32:40.43	d
58867	32:42.23	b
58925	32:44.17	d
59035	32:47.83	d
59103	32:50.10	b
59199	32:53.30	b
59257	32:55.23	d
59295	32:56.50	b
59341	32:58.03	b
59377	32:59.23	d
59421	33:00.70	b
59463	33:02.10	d
59497	33:03.23	b
59545	33:04.83	b
59585	33:06.17	d
59645	33:08.17	b
59689	33:09.63	d
59751	33:11.70	d
59791	33:13.03	b
59897	33:16.57	b
59921	33:17.37	d
59967	33:18.90	b
60031	33:21.03	b
60071	33:22.37	d
60133	33:24.43	b
60197	33:26.57	d
60229	33:27.63	b
60309	33:30.30	d
60371	33:32.37	b
60447	33:34.90	d
60589	33:39.63	d
60663	33:42.10	b
60733	33:44.43	d
60809	33:46.97	b
60841	33:48.03	d
60933	33:51.10	d
60973	33:52.43	b
61025	33:54.17	b
61079	33:55.97	b
61161	33:58.70	b
61185	33:59.50	d
61271	34:02.37	b
61323	34:04.10	d
61421	34:07.37	b
61467	34:08.90	b
61515	34:10.50	d
61571	34:12.37	b
61615	34:13.83	d
61655	34:15.17	b
61865	34:22.17	d
61957	34:25.23	b
61999	34:26.63	b
62029	34:27.63	b
62059	34:28.63	d
62409	34:40.30	d
62497	34:43.23	b
62531	34:44.37	b
62567	34:45.57	b
62633	34:47.77	d
62665	34:48.83	b
62747	34:51.57	b
62797	34:53.23	d
62841	34:54.70	b
62945	34:58.17	b
62987	34:59.57	d
63063	35:02.10	b
63099	35:03.30	b
63147	35:04.90	d
63265	35:08.83	A
63321	35:10.70	C
63429	35:14.30	A
63573	35:19.10	d
63657	35:21.90	d
63721	35:24.03	b
63757	35:25.23	b
63793	35:26.43	d
63921	35:30.70	A
63953	35:31.77	C
64033	35:34.43	b
64063	35:35.43	d
64123	35:37.43	b
64175	35:39.17	b
64235	35:41.17	b
64263	35:42.10	d
64321	35:44.03	b
64369	35:45.63	d
64457	35:48.57	d
64565	35:52.17	b
64611	35:53.70	b
64647	35:54.90	b
64667	35:55.57	d
64749	35:58.30	d
64809	36:00.30	b
64859	36:01.97	d
64909	36:03.63	b
64973	36:05.77	d
65031	36:07.70	b
65075	36:09.17	b
65133	36:11.10	b
65169	36:12.30	b
65191	36:13.03	d
65249	36:14.97	b
65313	36:17.10	b
65343	36:18.10	d
65449	36:21.63	b
65491	36:23.03	b
65575	36:25.83	d
65605	36:26.83	b
65637	36:27.90	d
65727	36:30.90	C
65841	36:34.70	d
65923	36:37.43	d
65965	36:38.83	b
65995	36:39.83	b
66069	36:42.30	b
66159	36:45.30	b
66205	36:46.83	d
66241	36:48.03	b
66763	37:05.43	A
67059	37:15.30	s
67839	37:41.30	A
67909	37:43.63	C
68905	38:16.83	s
69011	38:20.37	Q
69065	38:22.17	s
69173	38:25.77	C
69739	38:44.63	A
69815	38:47.17	d
69917	38:50.57	d
70077	38:55.90	d
70183	38:59.43	d
70241	39:01.37	d
70421	39:07.37	b
70467	39:08.90	b
70543	39:11.43	d
70595	39:13.17	b
70639	39:14.63	d
70723	39:17.43	b
70769	39:18.97	b
70799	39:19.97	b
70841	39:21.37	d
70917	39:23.90	d
71001	39:26.70	d
71049	39:28.30	b
