scorevideo	LOG
File:	logXCB5_log.mat

VIDEO	FILE	SET
Videotype:	AVI
Directory:	F:\Roya\NEW	XCB	cohort\
Video	file	set:
	XCB5	Blue	081417	1-156645
Play	duration	(min):	87.025
Frames/sec	of	files:	30
No.	of	subjects:	2

COMMAND	SET	AND	SETTINGS
-------------------------------
start	stop	subject	description
-------------------------------
A	0	attack	female
C	0	chase	female
D	0	yellow	lateral	display	(right)
F	0	flee	from	female
Q	0	quiver	at	female
b	0	attack	blue	(left)
d	0	blue	lateral	display	(left)
e	0	pot	entry
f	0	flee	from	male
p	0	dig
q	0	quiver	at	male
r	0	frontal	display
s	0	lead	swim
x	0	pot	exit
y	0	attack	yellow	(right)
-------------------------------
subject	1:	subject1
subject	2:	subject2
subj#:	0=either	1=subject1	2=subject2	3=both
No.	of	simultaneous	behaviors:	one

RAW	LOG
------------------------------------------
frame	time(min:sec)	command
------------------------------------------
55277	30:42.57	A
55657	30:55.23	d
55725	30:57.50	d
55749	30:58.30	b
55845	31:01.50	A
55887	31:02.90	A
56069	31:08.97	Q
56397	31:19.90	A
56525	31:24.17	C
56919	31:37.30	b
57041	31:41.37	b
57811	32:07.03	Q
58425	32:27.50	d
58547	32:31.57	A
58597	32:33.23	A
58901	32:43.37	b
59131	32:51.03	Q
59413	33:00.43	Q
59437	33:01.23	C
60079	33:22.63	e
60333	33:31.10	x
60389	33:32.97	d
60513	33:37.10	e
60577	33:39.23	x
60579	33:39.30	A
62081	34:29.37	A
62353	34:38.43	e
62415	34:40.50	x
62433	34:41.10	A
62495	34:43.17	A
62545	34:44.83	A
62683	34:49.43	A
62853	34:55.10	A
62941	34:58.03	A
63009	35:00.30	e
63317	35:10.57	x
63359	35:11.97	e
63533	35:17.77	p
63635	35:21.17	x
64867	36:02.23	Q
65137	36:11.23	C
65209	36:13.63	A
65403	36:20.10	e
65643	36:28.10	A
65649	36:28.30	x
65695	36:29.83	e
65869	36:35.63	x
65945	36:38.17	b
66043	36:41.43	A
66161	36:45.37	A
66391	36:53.03	y
66439	36:54.63	y
66489	36:56.30	y
66679	37:02.63	y
66785	37:06.17	y
67083	37:16.10	y
67305	37:23.50	y
67449	37:28.30	y
67519	37:30.63	y
68225	37:54.17	e
68345	37:58.17	x
68787	38:12.90	e
68863	38:15.43	x
68895	38:16.50	A
68935	38:17.83	A
69269	38:28.97	A
69685	38:42.83	A
69773	38:45.77	b
69825	38:47.50	b
69963	38:52.10	A
70191	38:59.70	A
70287	39:02.90	Q
70873	39:22.43	d
71175	39:32.50	A
71315	39:37.17	A
71469	39:42.30	e
71529	39:44.30	x
71715	39:50.50	A
72025	40:00.83	d
72195	40:06.50	b
72293	40:09.77	b
72345	40:11.50	A
72797	40:26.57	A
72979	40:32.63	A
73185	40:39.50	e
73269	40:42.30	x
73671	40:55.70	e
74121	41:10.70	x
