scorevideo	LOG
File:
logXCB7_log.mat

VIDEO	FILE	SET
Videotype:	AVI
Directory:	G:\Roya\NEW	XCB	cohort\
Video	file	set:msng	XCB7	Blue	081617	1-166545
Play	duration	(min):	92.525
Frames/sec	of	files:	30
No.	of	subjects:	2

COMMAND	SET	AND	SETTINGS
-------------------------------
start	stop	subject	description
-------------------------------
89871	49:55.70	A
90057	50:01.90	A
90227	50:07.57	d
90311	50:10.37	d
90383	50:12.77	A
90805	50:26.83	Q
91041	50:34.70	d
91215	50:40.50	d
91363	50:45.43	d
91447	50:48.23	b
91501	50:50.03	d
91667	50:55.57	d
91795	50:59.83	d
92213	51:13.77	Q
92399	51:19.97	Q
92435	51:21.17	A
92591	51:26.37	Q
92657	51:28.57	A
92821	51:34.03	A
93357	51:51.90	e
93445	51:54.83	p
93455	51:55.17	x
93483	51:56.10	y
93583	51:59.43	A
93833	52:07.77	d
93931	52:11.03	d
94011	52:13.70	Q
94121	52:17.37	C
94207	52:20.23	d
94271	52:22.37	d
94315	52:23.83	A
94343	52:24.77	A
94389	52:26.30	A
94703	52:36.77	d
94811	52:40.37	b
94923	52:44.10	d
95013	52:47.10	b
95061	52:48.70	d
95123	52:50.77	b
95149	52:51.63	d
95269	52:55.63	A
95539	53:04.63	d
95621	53:07.37	d
95703	53:10.10	d
95747	53:11.57	A
95879	53:15.97	d
95925	53:17.50	b
95985	53:19.50	d
96075	53:22.50	b
96093	53:23.10	d
96177	53:25.90	b
96263	53:28.77	d
96325	53:30.83	b
96359	53:31.97	d
96399	53:33.30	b
96419	53:33.97	d
96461	53:35.37	b
96473	53:35.77	d
96527	53:37.57	b
96555	53:38.50	d
96655	53:41.83	b
96693	53:43.10	b
96737	53:44.57	d
96869	53:48.97	d
96917	53:50.57	A
97025	53:54.17	A
97353	54:05.10	s
97435	54:07.83	d
97543	54:11.43	C
97665	54:15.50	Q
97845	54:21.50	A
98369	54:38.97	b
98423	54:40.77	d
98543	54:44.77	y
98647	54:48.23	d
98857	54:55.23	b
98935	54:57.83	b
99073	55:02.43	b
99223	55:07.43	s
99273	55:09.10	Q
99337	55:11.23	Q
99425	55:14.17	s
99771	55:25.70	b
99807	55:26.90	d
99867	55:28.90	s
99967	55:32.23	s
100135	55:37.83	s
100249	55:41.63	s
100823	56:00.77	s
100935	56:04.50	s
