scorevideo	LOG
File:	logXCB11_log.mat

VIDEO	FILE	SET
Videotype:	AVI
Directory:	G:\Roya\NEW	XCB	cohort\
Video	file	set:
	XCB11	Blue	082217	1-120630
Play	duration	(min):	67.017
Frames/sec	of	files:	30
No.	of	subjects:	2

COMMAND	SET	AND	SETTINGS
-------------------------------
start	stop	subject	description
-------------------------------
A	0	attack	female
C	0	chase	female
D	0	yellow	lateral	display	(right)
F	0	flee	from	female
Q	0	quiver	at	female
b	0	attack	blue	(left)
d	0	blue	lateral	display	(left)
e	0	pot	entry
f	0	flee	from	male
p	0	dig
q	0	quiver	at	male
r	0	frontal	display
s	0	lead	swim
x	0	pot	exit
y	0	attack	yellow	(right)
-------------------------------
subject	1:	subject1
subject	2:	subject2
subj#:	0=either	1=subject1	2=subject2	3=both
No.	of	simultaneous	behaviors:	one

RAW	LOG
------------------------------------------
frame	time(min:sec)	command
------------------------------------------
54085	30:02.83	d
54157	30:05.23	b
54319	30:10.63	b
54385	30:12.83	b
54443	30:14.77	b
54487	30:16.23	d
54703	30:23.43	Q
54829	30:27.63	Q
55117	30:37.23	b
55283	30:42.77	s
55475	30:49.17	s
55729	30:57.63	A
55749	30:58.30	A
55859	31:01.97	s
56069	31:08.97	Q
56171	31:12.37	s
56305	31:16.83	d
56365	31:18.83	b
56391	31:19.70	b
56469	31:22.30	d
56539	31:24.63	d
56595	31:26.50	b
56633	31:27.77	d
56717	31:30.57	b
56753	31:31.77	d
56781	31:32.70	b
56819	31:33.97	b
56837	31:34.57	d
56961	31:38.70	b
57137	31:44.57	b
57179	31:45.97	d
57547	31:58.23	b
57675	32:02.50	d
57719	32:03.97	b
58053	32:15.10	d
58053	32:15.10	d
58095	32:16.50	b
58299	32:23.30	d
58451	32:28.37	Q
58479	32:29.30	s
58589	32:32.97	Q
58681	32:36.03	b
58741	32:38.03	d
58815	32:40.50	s
58983	32:46.10	e
59017	32:47.23	x
59443	33:01.43	A
59489	33:02.97	C
59573	33:05.77	A
59751	33:11.70	d
59777	33:12.57	b
59813	33:13.77	d
60011	33:20.37	d
60107	33:23.57	b
60165	33:25.50	d
60271	33:29.03	d
60699	33:43.30	d
60759	33:45.30	d
60845	33:48.17	d
60863	33:48.77	b
61023	33:54.10	d
61097	33:56.57	b
61129	33:57.63	d
61167	33:58.90	b
61199	33:59.97	b
61253	34:01.77	b
61273	34:02.43	d
61441	34:08.03	d
61465	34:08.83	b
61515	34:10.50	d
61601	34:13.37	b
61803	34:20.10	b
61835	34:21.17	b
61909	34:23.63	b
61967	34:25.57	b
61999	34:26.63	d
62081	34:29.37	b
62111	34:30.37	d
62171	34:32.37	b
62211	34:33.70	d
62227	34:34.23	b
62327	34:37.57	d
62393	34:39.77	b
62429	34:40.97	b
62485	34:42.83	b
62527	34:44.23	b
62623	34:47.43	d
62751	34:51.70	b
62973	34:59.10	d
63133	35:04.43	b
63381	35:12.70	d
63533	35:17.77	s
63601	35:20.03	b
63661	35:22.03	d
63749	35:24.97	b
63815	35:27.17	d
63923	35:30.77	b
63987	35:32.90	b
64049	35:34.97	d
64125	35:37.50	b
64191	35:39.70	b
64247	35:41.57	d
64421	35:47.37	b
64451	35:48.37	d
64593	35:53.10	s
64641	35:54.70	Q
64681	35:56.03	s
64761	35:58.70	s
64835	36:01.17	Q
64931	36:04.37	Q
65117	36:10.57	d
65215	36:13.83	Q
65363	36:18.77	d
65595	36:26.50	Q
65865	36:35.50	Q
65907	36:36.90	s
65949	36:38.30	A
66895	37:09.83	s
67009	37:13.63	d
67197	37:19.90	s
67399	37:26.63	Q
67479	37:29.30	A
67675	37:35.83	d
67769	37:38.97	d
67955	37:45.17	d
68077	37:49.23	d
68171	37:52.37	d
68307	37:56.90	d
68437	38:01.23	d
68573	38:05.77	d
68595	38:06.50	b
68687	38:09.57	d
68735	38:11.17	A
68787	38:12.90	s
68887	38:16.23	A
70023	38:54.10	d
70147	38:58.23	A
70223	39:00.77	A
70647	39:14.90	d
70721	39:17.37	b
70755	39:18.50	d
70873	39:22.43	d
70923	39:24.10	d
70997	39:26.57	d
71063	39:28.77	b
71095	39:29.83	d
71829	39:54.30	d
71983	39:59.43	b
72059	40:01.97	s
72171	40:05.70	d
72241	40:08.03	b
72345	40:11.50	s
72427	40:14.23	b
72895	40:29.83	C
72987	40:32.90	d
73063	40:35.43	d
73137	40:37.90	b
73211	40:40.37	d
73231	40:41.03	b
73275	40:42.50	b
73289	40:42.97	d
73349	40:44.97	b
73521	40:50.70	b
73665	40:55.50	d
73999	41:06.63	b
74161	41:12.03	b
74481	41:22.70	d
74515	41:23.83	A
74689	41:29.63	b
74731	41:31.03	d
75025	41:40.83	d
75061	41:42.03	b
75117	41:43.90	d
75357	41:51.90	d
75585	41:59.50	d
75675	42:02.50	d
75821	42:07.37	d
75917	42:10.57	d
76149	42:18.30	d
76249	42:21.63	Q
76421	42:27.37	d
76497	42:29.90	b
76529	42:30.97	d
76601	42:33.37	b
76697	42:36.57	d
76711	42:37.03	b
76823	42:40.77	d
76985	42:46.17	d
77069	42:48.97	A
77507	43:03.57	d
77593	43:06.43	A
77641	43:08.03	C
77717	43:10.57	b
77785	43:12.83	b
77817	43:13.90	d
77867	43:15.57	b
77931	43:17.70	b
78007	43:20.23	b
78047	43:21.57	d
78097	43:23.23	b
78143	43:24.77	d
78197	43:26.57	b
78247	43:28.23	b
78293	43:29.77	d
78425	43:34.17	s
78539	43:37.97	A
78663	43:42.10	d
78701	43:43.37	C
78829	43:47.63	d
79043	43:54.77	s
79207	44:00.23	s
79293	44:03.10	d
79339	44:04.63	b
79635	44:14.50	d
80081	44:29.37	A
80497	44:43.23	d
80609	44:46.97	b
80635	44:47.83	d
80699	44:49.97	b
80719	44:50.63	d
80811	44:53.70	Q
80895	44:56.50	Q
81213	45:07.10	b
81275	45:09.17	d
81477	45:15.90	A
81941	45:31.37	d
82069	45:35.63	s
82333	45:44.43	s
82491	45:49.70	e
