scorevideo	LOG							
File:	logXCB1_log.mat							
								
VIDEO	FILE	SET						
Videotype:	AVI							
Directory:	F:\Roya\Color	Beh	for	Roya\NEW	XCB	cohort\XCB1	Blue	081017\
Video	file	set:						
	XCB1	Blue	81017	1-116535				
Play	duration	(min):	64.742					
Frames/sec	of	files:	30					
No.	of	subjects:	2					
								
COMMAND	SET	AND	SETTINGS					
-------------------------------								
start	stop	subject	description					
98493	54:43.1	pot	entry	either				
98675	54:49.2	pot	exit	either				
98795	54:53.2	blue	lateral	display	(left)	either		
98869	54:55.6	blue	lateral	display	(left)	either		
98911	54:57.0	attack	blue	(left)	either			
99013	55:00.4	attack	blue	(left)	either			
99109	55:03.6	blue	lateral	display	(left)	either		
99165	55:05.5	attack	blue	(left)	either			
99193	55:06.4	attack	blue	(left)	either			
99307	55:10.2	lead	swim	either				
99399	55:13.3	attack	blue	(left)	either			
99449	55:15.0	attack	blue	(left)	either			
99525	55:17.5	attack	blue	(left)	either			
99665	55:22.2	quiver	at	female	either			
99697	55:23.2	lead	swim	either				
99793	55:26.4	attack	blue	(left)	either			
99915	55:30.5	lead	swim	either				
99957	55:31.9	attack	blue	(left)	either			
100055	55:35.2	lead	swim	either				
100149	55:38.3	attack	blue	(left)	either			
100213	55:40.4	attack	blue	(left)	either			
100235	55:41.2	attack	blue	(left)	either			
100287	55:42.9	blue	lateral	display	(left)	either		
100441	55:48.0	blue	lateral	display	(left)	either		
100579	55:52.6	blue	lateral	display	(left)	either		
100655	55:55.2	attack	blue	(left)	either			
100715	55:57.2	blue	lateral	display	(left)	either		
100799	56:00.0	blue	lateral	display	(left)	either		
101483	56:22.8	blue	lateral	display	(left)	either		
101641	56:28.0	attack	female	either				
101671	56:29.0	chase	female	either				
102133	56:44.4	blue	lateral	display	(left)	either		
102335	56:51.2	blue	lateral	display	(left)	either		
102441	56:54.7	attack	blue	(left)	either			
102491	56:56.4	blue	lateral	display	(left)	either		
102531	56:57.7	attack	blue	(left)	either			
102637	57:01.2	attack	blue	(left)	either			
102721	57:04.0	blue	lateral	display	(left)	either		
102857	57:08.6	attack	blue	(left)	either			
103001	57:13.4	blue	lateral	display	(left)	either		
103215	57:20.5	attack	blue	(left)	either			
103475	57:29.2	blue	lateral	display	(left)	either		
103647	57:34.9	attack	blue	(left)	either			
103765	57:38.8	attack	blue	(left)	either			
103873	57:42.4	attack	blue	(left)	either			
103907	57:43.6	blue	lateral	display	(left)	either		
104041	57:48.0	blue	lateral	display	(left)	either		
104097	57:49.9	attack	blue	(left)	either			
104289	57:56.3	attack	blue	(left)	either			
104317	57:57.2	attack	blue	(left)	either			
104415	58:00.5	attack	blue	(left)	either			
104619	58:07.3	attack	blue	(left)	either			
104729	58:11.0	lead	swim	either				
104769	58:12.3	attack	blue	(left)	either			
104971	58:19.0	lead	swim	either				
105021	58:20.7	quiver	at	female	either			
105407	58:33.6	blue	lateral	display	(left)	either		
105469	58:35.6	attack	blue	(left)	either			
105751	58:45.0	attack	blue	(left)	either			
105833	58:47.8	blue	lateral	display	(left)	either		
105871	58:49.0	lead	swim	either				
105977	58:52.6	lead	swim	either				
106133	58:57.8	lead	swim	either				
106241	59:01.4	blue	lateral	display	(left)	either		
106671	59:15.7	quiver	at	female	either			
106755	59:18.5	quiver	at	female	either			
106771	59:19.0	pot	entry	either				
106809	59:20.3	quiver	at	female	either			
106897	59:23.2	pot	exit	either				
106923	59:24.1	attack	blue	(left)	either			
106953	59:25.1	blue	lateral	display	(left)	either		
107005	59:26.8	attack	blue	(left)	either			
107095	59:29.8	attack	blue	(left)	either			
107121	59:30.7	attack	blue	(left)	either			
107233	59:34.4	attack	blue	(left)	either			
107341	59:38.0	attack	blue	(left)	either			
107371	59:39.0	blue	lateral	display	(left)	either		
107471	59:42.4	attack	blue	(left)	either			
107621	59:47.4	attack	blue	(left)	either			
107675	59:49.2	attack	blue	(left)	either			
107695	59:49.8	blue	lateral	display	(left)	either		
107769	59:52.3	attack	blue	(left)	either			
107947	59:58.2	attack	blue	(left)	either			
------------------------------------------								
								
NOTES								
------------------------------------------								
------------------------------------------								
								
MARKS								
------------------------------------------								
frame	time(min:sec)	mark	name					
------------------------------------------								
	1	00:00.0	video	start				
116535	04:44.5	video	end					
------------------------------------------								
