scorevideo	LOG							
File:	logXCB1_log.mat							
								
VIDEO	FILE	SET						
Videotype:	AVI							
Directory:	F:\Roya\Color	Beh	for	Roya\NEW	XCB	cohort\XCB1	Blue	081017\
Video	file	set:						
	XCB1	Blue	81017	1-116535				
Play	duration	(min):	64.742					
Frames/sec	of	files:	30					
No.	of	subjects:	2					
								
COMMAND	SET	AND	SETTINGS					
-------------------------------								
start	stop	subject	description					
78979	43:52.6	d						
79185	43:59.5	d						
79243	44:01.4	b						
79287	44:02.9	b						
79369	44:05.6	d						
79523	44:10.8	e						
79671	44:15.7	x						
79721	44:17.4	b						
79755	44:18.5	d						
79811	44:20.4	b						
79955	44:25.2	b						
80029	44:27.6	b						
80155	44:31.8	s						
80277	44:35.9	b						
80413	44:40.4	s						
80451	44:41.7	Q						
80539	44:44.6	s						
80691	44:49.7	b						
80773	44:52.4	s						
80797	44:53.2	b						
81071	45:02.4	b						
81161	45:05.4	d						
81263	45:08.8	d						
81371	45:12.4	Q						
81399	45:13.3	e						
81421	45:14.0	x						
81477	45:15.9	d						
81855	45:28.5	d						
82053	45:35.1	b						
82219	45:40.6	d						
82379	45:46.0	d						
82443	45:48.1	Q						
82795	45:59.8	d						
82939	46:04.6	s						
83015	46:07.2	b						
83085	46:09.5	d						
83223	46:14.1	s						
83509	46:23.6	A						
83587	46:26.2	C						
84173	46:45.8	A						
84273	46:49.1	d						
84549	46:58.3	b						
84635	47:01.2	d						
84709	47:03.6	b						
84987	47:12.9	b						
85397	47:26.6	d						
85469	47:29.0	Q						
85523	47:30.8	s						
85573	47:32.4	d						
85649	47:35.0	d						
85749	47:38.3	s						
85793	47:39.8	b						
85897	47:43.2	s						
86023	47:47.4	Q						
86099	47:50.0	b						
86397	47:59.9	b						
86429	48:01.0	b						
86573	48:05.8	s						
86697	48:09.9	s						
86777	48:12.6	C						
86997	48:19.9	b						
87479	48:36.0	s						
87535	48:37.8	b						
87575	48:39.2	d						
87691	48:43.0	b						
87971	48:52.4	Q						
88045	48:54.8	b						
88127	48:57.6	d						
88219	49:00.6	b						
88369	49:05.6	b						
88399	49:06.6	d						
88467	49:08.9	b						
88585	49:12.8	b						
89069	49:29.0	b						
89143	49:31.4	d						
89249	49:35.0	d						
89353	49:38.4	b						
89501	49:43.4	d						
90373	50:12.4	b						
90467	50:15.6	d						
90563	50:18.8	A						
90623	50:20.8	d						
90661	50:22.0	b						
90831	50:27.7	A						
91301	50:43.4	d						
91371	50:45.7	b						
91441	50:48.0	d						
91545	50:51.5	b						
91647	50:54.9	A						
91715	50:57.2	d						
91875	51:02.5	d						
92019	51:07.3	b						
92115	51:10.5	A						
92175	51:12.5	s						
92219	51:14.0	b						
92259	51:15.3	d						
92369	51:19.0	b						
92423	51:20.8	b						
92487	51:22.9	s						
92547	51:24.9	d						
92921	51:37.4	d						
93285	51:49.5	d						
93349	51:51.6	b						
93387	51:52.9	d						
93423	51:54.1	b						
93481	51:56.0	b						
93581	51:59.4	Q						
93629	52:01.0	s						
93807	52:06.9	b						
93943	52:11.4	s						
94063	52:15.4	d						
94329	52:24.3	b						
94747	52:38.2	b						
94879	52:42.6	b						
95255	52:55.2	d						
95895	53:16.5	s						
96063	53:22.1	b						
96101	53:23.4	d						
96855	53:48.5	b						
96965	53:52.2	b						
97427	54:07.6	b						
97611	54:13.7	b						
97893	54:23.1	b						
98043	54:28.1	d						
98189	54:33.0	b						
98269	54:35.6	b						
98493	54:43.1	e						
98675	54:49.2	x						
98795	54:53.2	d						
98869	54:55.6	d						
98911	54:57.0	b						
99013	55:00.4	b						
99109	55:03.6	d						
99165	55:05.5	b						
99193	55:06.4	b						
99307	55:10.2	s						
99399	55:13.3	b						
