scorevideo	LOG
File:	logXCB9_log.mat

VIDEO	FILE	SET
Videotype:	AVI
Directory:	G:\Roya\NEW	XCB	cohort\
Video	file	set:
	XCB9	Blue	082117	1-113745
Play	duration	(min):	63.192
Frames/sec	of	files:	30
No.	of	subjects:	2

COMMAND	SET	AND	SETTINGS
-------------------------------
start	stop	subject	description
-------------------------------
A	0	attack	female
C	0	chase	female
D	0	yellow	lateral	display	(right)
F	0	flee	from	female
Q	0	quiver	at	female
b	0	attack	blue	(left)
d	0	blue	lateral	display	(left)
e	0	pot	entry
f	0	flee	from	male
p	0	dig
q	0	quiver	at	male
r	0	frontal	display
s	0	lead	swim
x	0	pot	exit
y	0	attack	yellow	(right)
-------------------------------
subject	1:	subject1
subject	2:	subject2
subj#:	0=either	1=subject1	2=subject2	3=both
No.	of	simultaneous	behaviors:	one

RAW	LOG
------------------------------------------
frame	time(min:sec)	command
------------------------------------------
54077	30:02.57	d
54125	30:04.17	d
54235	30:07.83	d
54387	30:12.90	A
54615	30:20.50	d
54701	30:23.37	d
54805	30:26.83	b
54849	30:28.30	b
54879	30:29.30	d
54939	30:31.30	d
54985	30:32.83	b
55047	30:34.90	d
55117	30:37.23	b
55143	30:38.10	d
55315	30:43.83	d
55373	30:45.77	d
55419	30:47.30	b
55481	30:49.37	b
55495	30:49.83	d
55563	30:52.10	b
55593	30:53.10	d
55651	30:55.03	d
55949	31:04.97	b
56007	31:06.90	d
56155	31:11.83	d
56285	31:16.17	d
56349	31:18.30	d
56545	31:24.83	A
56617	31:27.23	A
56777	31:32.57	d
56825	31:34.17	A
56859	31:35.30	Q
56991	31:39.70	A
57265	31:48.83	d
57503	31:56.77	A
57703	32:03.43	d
57749	32:04.97	d
57879	32:09.30	d
58193	32:19.77	b
58291	32:23.03	d
58443	32:28.10	d
58559	32:31.97	d
58619	32:33.97	d
58669	32:35.63	A
58779	32:39.30	b
58929	32:44.30	d
59069	32:48.97	d
59187	32:52.90	b
59215	32:53.83	d
59471	33:02.37	b
59513	33:03.77	d
59541	33:04.70	b
59573	33:05.77	d
59725	33:10.83	b
59761	33:12.03	d
59809	33:13.63	b
60473	33:35.77	d
60521	33:37.37	d
60745	33:44.83	b
60775	33:45.83	d
60835	33:47.83	d
60955	33:51.83	A
61125	33:57.50	A
61367	34:05.57	A
61491	34:09.70	d
61641	34:14.70	d
61687	34:16.23	d
61835	34:21.17	b
61887	34:22.90	d
62065	34:28.83	d
62229	34:34.30	d
72219	40:07.30	A
72895	40:29.83	A
73113	40:37.10	A
73341	40:44.70	A
75287	41:49.57	Q
76245	42:21.50	A
76981	42:46.03	d
77187	42:52.90	d
77235	42:54.50	b
77271	42:55.70	d
77341	42:58.03	d
77431	43:01.03	d
77567	43:05.57	A
77687	43:09.57	A
77867	43:15.57	A
77963	43:18.77	d
78133	43:24.43	d
78197	43:26.57	d
78331	43:31.03	d
78401	43:33.37	d
78465	43:35.50	d
78563	43:38.77	d
78635	43:41.17	d
78725	43:44.17	b
78749	43:44.97	d
78899	43:49.97	b
79645	44:14.83	d
79967	44:25.57	Q
80005	44:26.83	A
80057	44:28.57	C
80351	44:38.37	A
80399	44:39.97	C
80485	44:42.83	A
80705	44:50.17	A
80815	44:53.83	d
80905	44:56.83	d
80961	44:58.70	d
81031	45:01.03	d
81115	45:03.83	d
81231	45:07.70	d
81279	45:09.30	A
81317	45:10.57	C
81427	45:14.23	C
81609	45:20.30	C
81705	45:23.50	Q
81755	45:25.17	A
81791	45:26.37	C
81873	45:29.10	d
82047	45:34.90	d
82185	45:39.50	b
82227	45:40.90	d
82279	45:42.63	A
82453	45:48.43	d
83941	46:38.03	A
84463	46:55.43	f
86925	48:17.50	A
87267	48:28.90	A
87379	48:32.63	A
87419	48:33.97	A
87543	48:38.10	A
87715	48:43.83	A
88301	49:03.37	e
88395	49:06.50	x
88463	49:08.77	A
88499	49:09.97	A
88649	49:14.97	Q
88689	49:16.30	A
88737	49:17.90	A
88783	49:19.43	A
88833	49:21.10	C
88959	49:25.30	A
89045	49:28.17	Q
89413	49:40.43	C
89517	49:43.90	y
90153	50:05.10	f
90309	50:10.30	A
90423	50:14.10	A
90489	50:16.30	A
91371	50:45.70	A
91747	50:58.23	y
91817	51:00.57	A
91911	51:03.70	f
92599	51:26.63	d
92771	51:32.37	d
92847	51:34.90	d
93023	51:40.77	b
93191	51:46.37	b
93209	51:46.97	d
93315	51:50.50	b
93337	51:51.23	d
93511	51:57.03	C
93697	52:03.23	A
93763	52:05.43	A
93837	52:07.90	d
93921	52:10.70	b
93943	52:11.43	d
94099	52:16.63	d
94241	52:21.37	d
94415	52:27.17	Q
94453	52:28.43	C
94623	52:34.10	Q
94683	52:36.10	A
94813	52:40.43	d
94959	52:45.30	A
94995	52:46.50	A
95073	52:49.10	d
95225	52:54.17	d
95329	52:57.63	d
95429	53:00.97	b
95471	53:02.37	d
95599	53:06.63	d
95669	53:08.97	b
95729	53:10.97	d
95855	53:15.17	b
95881	53:16.03	d
96003	53:20.10	b
96047	53:21.57	d
96175	53:25.83	d
96259	53:28.63	b
96283	53:29.43	d
96321	53:30.70	b
96349	53:31.63	d
96407	53:33.57	b
96425	53:34.17	d
96491	53:36.37	d
96673	53:42.43	d
96693	53:43.10	b
96759	53:45.30	d
96819	53:47.30	b
96845	53:48.17	d
96877	53:49.23	b
96901	53:50.03	d
97001	53:53.37	d
97107	53:56.90	b
97123	53:57.43	d
97221	54:00.70	d
97291	54:03.03	d
97349	54:04.97	A
97431	54:07.70	A
97513	54:10.43	Q
97559	54:11.97	Q
97599	54:13.30	d
97689	54:16.30	d
97767	54:18.90	d
97805	54:20.17	b
97831	54:21.03	d
97929	54:24.30	b
97969	54:25.63	d
98089	54:29.63	d
98105	54:30.17	b
98131	54:31.03	d
98175	54:32.50	d
98413	54:40.43	A
98471	54:42.37	C
98555	54:45.17	d
98713	54:50.43	b
98735	54:51.17	d
98851	54:55.03	d
