scorevideo	LOG
File:	logXCB15_log.mat

VIDEO	FILE	SET
Videotype:	AVI
Directory:	G:\Roya\NEW	XCB	cohort\
Video	file	set:
	XCB15	Blue	082417	1-126360
Play	duration	(min):	70.200
Frames/sec	of	files:	30
No.	of	subjects:	2

COMMAND	SET	AND	SETTINGS
-------------------------------
start	stop	subject	description
-------------------------------
55543	30:51.43	attack	blue	(left)	either
55575	30:52.50	blue	lateral	display	(left)	either
55653	30:55.10	blue	lateral	display	(left)	either
55835	31:01.17	blue	lateral	display	(left)	either
56041	31:08.03	blue	lateral	display	(left)	either
56575	31:25.83	blue	lateral	display	(left)	either
56741	31:31.37	attack	blue	(left)	either
56875	31:35.83	blue	lateral	display	(left)	either
56981	31:39.37	attack	blue	(left)	either
57039	31:41.30	blue	lateral	display	(left)	either
57119	31:43.97	blue	lateral	display	(left)	either
57237	31:47.90	attack	blue	(left)	either
57389	31:52.97	blue	lateral	display	(left)	either
57499	31:56.63	blue	lateral	display	(left)	either
57615	32:00.50	blue	lateral	display	(left)	either
57823	32:07.43	blue	lateral	display	(left)	either
57873	32:09.10	attack	blue	(left)	either
58085	32:16.17	blue	lateral	display	(left)	either
58133	32:17.77	attack	blue	(left)	either
58293	32:23.10	blue	lateral	display	(left)	either
58531	32:31.03	blue	lateral	display	(left)	either
58761	32:38.70	blue	lateral	display	(left)	either
58959	32:45.30	blue	lateral	display	(left)	either
59073	32:49.10	blue	lateral	display	(left)	either
63759	35:25.30	attack	female	either
76381	42:26.03	attack	female	either
76425	42:27.50	blue	lateral	display	(left)	either
76497	42:29.90	blue	lateral	display	(left)	either
76555	42:31.83	blue	lateral	display	(left)	either
76671	42:35.70	blue	lateral	display	(left)	either
76755	42:38.50	blue	lateral	display	(left)	either
76859	42:41.97	blue	lateral	display	(left)	either
76929	42:44.30	blue	lateral	display	(left)	either
77015	42:47.17	blue	lateral	display	(left)	either
77189	42:52.97	blue	lateral	display	(left)	either
77357	42:58.57	blue	lateral	display	(left)	either
77647	43:08.23	blue	lateral	display	(left)	either
77791	43:13.03	blue	lateral	display	(left)	either
77999	43:19.97	attack	blue	(left)	either
78075	43:22.50	blue	lateral	display	(left)	either
78193	43:26.43	blue	lateral	display	(left)	either
78315	43:30.50	attack	blue	(left)	either
78377	43:32.57	blue	lateral	display	(left)	either
78479	43:35.97	blue	lateral	display	(left)	either
78699	43:43.30	attack	blue	(left)	either
78735	43:44.50	blue	lateral	display	(left)	either
